Time, ValueCH1, ValueCH2, ValueCH3,  ValueCH4,  PSUstat
2024-09-04 12:26:54, 0, 0, 31.387 ,27.979,30.394,OFF
2024-09-04 12:27:08, 0, 0, 31.518 ,27.978,30.412,ON
2024-09-04 12:27:22, 0, 0, 31.715 ,27.979,30.433,ON
2024-09-04 12:27:36, 0, 0, 31.895 ,27.982,30.21,ON
2024-09-04 12:27:50, 0, 0, 32.064 ,27.952,30.207,ON
2024-09-04 12:28:04, 0, 0, 32.236 ,27.928,30.42,ON
2024-09-04 12:28:18, 0, 0, 32.403 ,27.929,30.238,ON
2024-09-04 12:28:33, 0, 0, 32.563 ,27.898,30.25,ON
2024-09-04 12:28:47, 0, 0, 32.724 ,27.868,30.3,ON
2024-09-04 12:29:01, 0, 0, 32.887 ,27.841,30.391,ON
2024-09-04 12:29:15, 0, 0, 33.05 ,27.827,30.505,ON
2024-09-04 12:29:29, 0, 0, 33.214 ,27.81,30.628,ON
2024-09-04 12:29:43, 0, 0, 33.378 ,27.805,30.751,ON
2024-09-04 12:29:57, 0, 0, 33.543 ,27.805,30.87,ON
2024-09-04 12:30:11, 0, 0, 33.707 ,27.807,30.983,ON
2024-09-04 12:30:25, 0, 0, 33.872 ,27.811,31.089,ON
2024-09-04 12:30:39, 0, 0, 34.038 ,27.816,31.188,ON
2024-09-04 12:30:53, 0, 0, 34.204 ,27.82,31.28,ON
2024-09-04 12:31:08, 0, 0, 34.37 ,27.826,31.366,ON
2024-09-04 12:31:22, 0, 0, 34.536 ,27.833,31.447,ON
2024-09-04 12:31:36, 0, 0, 34.701 ,27.842,31.522,ON
2024-09-04 12:31:50, 0, 0, 34.866 ,27.846,31.593,ON
2024-09-04 12:32:04, 0, 0, 35.03 ,27.855,31.661,ON
2024-09-04 12:32:18, 0, 0, 35.193 ,27.859,31.725,ON
2024-09-04 12:32:32, 0, 0, 35.355 ,27.859,31.788,ON
2024-09-04 12:32:46, 0, 0, 35.515 ,27.867,31.85,ON
2024-09-04 12:33:00, 0, 0, 35.675 ,27.876,31.911,ON
2024-09-04 12:33:14, 0, 0, 35.833 ,27.882,31.972,ON
2024-09-04 12:33:28, 0, 0, 35.989 ,27.892,32.033,ON
2024-09-04 12:33:43, 0, 0, 36.145 ,27.898,32.095,ON
2024-09-04 12:33:57, 0, 0, 36.3 ,27.904,32.157,ON
2024-09-04 12:34:11, 0, 0, 36.454 ,27.915,32.221,ON
2024-09-04 12:34:25, 0, 0, 36.606 ,27.921,32.286,ON
2024-09-04 12:34:39, 0, 0, 36.758 ,27.927,32.353,ON
2024-09-04 12:34:53, 0, 0, 36.909 ,27.939,32.42,ON
2024-09-04 12:35:07, 0, 0, 37.058 ,27.95,32.489,ON
2024-09-04 12:35:21, 0, 0, 37.207 ,27.959,32.559,ON
2024-09-04 12:35:35, 0, 0, 37.355 ,27.965,32.63,ON
2024-09-04 12:35:49, 0, 0, 37.502 ,27.972,32.702,ON
2024-09-04 12:36:04, 0, 0, 37.648 ,27.981,32.776,ON
2024-09-04 12:36:18, 0, 0, 37.793 ,27.985,32.851,ON
2024-09-04 12:36:32, 0, 0, 37.937 ,27.99,32.927,ON
2024-09-04 12:36:46, 0, 0, 38.081 ,27.997,33.003,ON
2024-09-04 12:37:00, 0, 0, 38.224 ,28.0,33.08,ON
2024-09-04 12:37:14, 0, 0, 38.366 ,28.003,33.158,ON
2024-09-04 12:37:28, 0, 0, 38.508 ,28.01,33.237,ON
2024-09-04 12:37:42, 0, 0, 38.649 ,28.018,33.317,ON
2024-09-04 12:37:56, 0, 0, 38.789 ,28.027,33.396,ON
2024-09-04 12:38:10, 0, 0, 38.928 ,28.035,33.477,ON
2024-09-04 12:38:25, 0, 0, 39.067 ,28.044,33.557,ON
2024-09-04 12:38:39, 0, 0, 39.204 ,28.05,33.638,ON
2024-09-04 12:38:53, 0, 0, 39.341 ,28.054,33.72,ON
2024-09-04 12:39:07, 0, 0, 39.477 ,28.063,33.801,ON
2024-09-04 12:39:21, 0, 0, 39.613 ,28.068,33.884,ON
2024-09-04 12:39:34, 0, 0, 39.741 ,28.074,33.962,ON
2024-09-04 12:39:48, 0, 0, 39.869 ,28.079,34.042,ON
2024-09-04 12:40:01, 0, 0, 39.997 ,28.078,34.121,ON
2024-09-04 12:40:15, 0, 0, 40.123 ,28.083,34.201,ON
2024-09-04 12:40:28, 0, 0, 40.249 ,28.082,34.281,ON
2024-09-04 12:40:42, 0, 0, 40.374 ,28.079,34.361,ON
2024-09-04 12:40:55, 0, 0, 40.499 ,28.084,34.441,ON
2024-09-04 12:41:09, 0, 0, 40.622 ,28.085,34.521,ON
2024-09-04 12:41:23, 0, 0, 40.623 ,28.089,34.605,OFF
2024-09-04 12:41:37, 0, 0, 40.525 ,28.092,34.688,OFF
2024-09-04 12:41:51, 0, 0, 40.435 ,28.099,34.768,OFF
2024-09-04 12:42:04, 0, 0, 40.357 ,28.101,34.84,OFF
2024-09-04 12:42:18, 0, 0, 40.283 ,28.105,34.907,OFF
2024-09-04 12:42:31, 0, 0, 40.211 ,28.108,34.968,OFF
2024-09-04 12:42:45, 0, 0, 40.142 ,28.112,35.025,OFF
2024-09-04 12:42:58, 0, 0, 40.074 ,28.117,35.076,OFF
2024-09-04 12:43:12, 0, 0, 40.008 ,28.125,35.123,OFF
2024-09-04 12:43:25, 0, 0, 39.942 ,28.129,35.166,OFF
2024-09-04 12:43:39, 0, 0, 39.876 ,28.131,35.206,OFF
2024-09-04 12:43:52, 0, 0, 39.812 ,28.128,35.242,OFF
2024-09-04 12:44:06, 0, 0, 39.747 ,28.138,35.275,OFF
2024-09-04 12:44:19, 0, 0, 39.684 ,28.13,35.305,OFF
2024-09-04 12:44:33, 0, 0, 39.62 ,28.126,35.333,OFF
2024-09-04 12:44:46, 0, 0, 39.558 ,28.139,35.358,OFF
2024-09-04 12:45:00, 0, 0, 39.496 ,28.152,35.382,OFF
2024-09-04 12:45:14, 0, 0, 39.557 ,28.165,35.402,ON
2024-09-04 12:45:27, 0, 0, 39.714 ,28.169,35.418,ON
2024-09-04 12:45:41, 0, 0, 39.868 ,28.172,35.429,ON
2024-09-04 12:45:54, 0, 0, 40.018 ,28.18,35.434,ON
2024-09-04 12:46:08, 0, 0, 40.165 ,28.181,35.432,ON
2024-09-04 12:46:21, 0, 0, 40.307 ,28.192,35.414,ON
2024-09-04 12:46:34, 0, 0, 40.437 ,28.197,35.395,ON
2024-09-04 12:46:48, 0, 0, 40.568 ,28.204,35.426,ON
2024-09-04 12:47:02, 0, 0, 40.632 ,28.214,35.462,OFF
2024-09-04 12:47:16, 0, 0, 40.592 ,28.218,35.536,OFF
2024-09-04 12:47:30, 0, 0, 40.542 ,28.229,35.595,OFF
2024-09-04 12:47:44, 0, 0, 40.495 ,28.236,35.655,OFF
2024-09-04 12:47:58, 0, 0, 40.452 ,28.236,35.714,OFF
2024-09-04 12:48:11, 0, 0, 40.413 ,28.242,35.774,OFF
2024-09-04 12:48:25, 0, 0, 40.376 ,28.253,35.833,OFF
2024-09-04 12:48:38, 0, 0, 40.342 ,28.26,35.892,OFF
2024-09-04 12:48:52, 0, 0, 40.31 ,28.25,35.951,OFF
2024-09-04 12:49:05, 0, 0, 40.279 ,28.259,36.008,OFF
2024-09-04 12:49:19, 0, 0, 40.25 ,28.275,36.065,OFF
2024-09-04 12:49:32, 0, 0, 40.222 ,28.286,36.12,OFF
2024-09-04 12:49:46, 0, 0, 40.195 ,28.296,36.175,OFF
2024-09-04 12:49:59, 0, 0, 40.169 ,28.299,36.229,OFF
2024-09-04 12:50:13, 0, 0, 40.144 ,28.307,36.281,OFF
2024-09-04 12:50:26, 0, 0, 40.12 ,28.318,36.332,OFF
2024-09-04 12:50:39, 0, 0, 40.096 ,28.323,36.382,OFF
2024-09-04 12:50:53, 0, 0, 40.074 ,28.325,36.432,OFF
2024-09-04 12:51:06, 0, 0, 40.051 ,28.327,36.48,OFF
2024-09-04 12:51:20, 0, 0, 40.029 ,28.324,36.527,OFF
2024-09-04 12:51:33, 0, 0, 40.008 ,28.328,36.573,OFF
2024-09-04 12:51:47, 0, 0, 39.987 ,28.329,36.618,OFF
2024-09-04 12:52:00, 0, 0, 39.967 ,28.333,36.662,OFF
2024-09-04 12:52:14, 0, 0, 39.947 ,28.339,36.705,OFF
2024-09-04 12:52:27, 0, 0, 39.928 ,28.347,36.747,OFF
2024-09-04 12:52:41, 0, 0, 39.908 ,28.352,36.789,OFF
2024-09-04 12:52:54, 0, 0, 39.89 ,28.356,36.829,OFF
2024-09-04 12:53:08, 0, 0, 39.871 ,28.361,36.869,OFF
2024-09-04 12:53:21, 0, 0, 39.853 ,28.358,36.907,OFF
2024-09-04 12:53:35, 0, 0, 39.836 ,28.36,36.945,OFF
2024-09-04 12:53:48, 0, 0, 39.818 ,28.364,36.982,OFF
2024-09-04 12:54:02, 0, 0, 39.801 ,28.369,37.018,OFF
2024-09-04 12:54:15, 0, 0, 39.784 ,28.378,37.054,OFF
2024-09-04 12:54:28, 0, 0, 39.767 ,28.383,37.088,OFF
2024-09-04 12:54:42, 0, 0, 39.751 ,28.383,37.122,OFF
2024-09-04 12:54:55, 0, 0, 39.735 ,28.391,37.155,OFF
2024-09-04 12:55:09, 0, 0, 39.719 ,28.395,37.187,OFF
2024-09-04 12:55:22, 0, 0, 39.704 ,28.403,37.219,OFF
2024-09-04 12:55:36, 0, 0, 39.688 ,28.405,37.25,OFF
2024-09-04 12:55:49, 0, 0, 39.673 ,28.407,37.28,OFF
2024-09-04 12:56:03, 0, 0, 39.658 ,28.416,37.31,OFF
2024-09-04 12:56:16, 0, 0, 39.644 ,28.421,37.339,OFF
2024-09-04 12:56:30, 0, 0, 39.629 ,28.417,37.367,OFF
2024-09-04 12:56:43, 0, 0, 39.615 ,28.426,37.394,OFF
2024-09-04 12:56:57, 0, 0, 39.601 ,28.435,37.422,OFF
2024-09-04 12:57:10, 0, 0, 39.587 ,28.441,37.448,OFF
2024-09-04 12:57:24, 0, 0, 39.573 ,28.444,37.474,OFF
2024-09-04 12:57:37, 0, 0, 39.56 ,28.447,37.499,OFF
2024-09-04 12:57:51, 0, 0, 39.547 ,28.45,37.524,OFF
2024-09-04 12:58:04, 0, 0, 39.533 ,28.457,37.549,OFF
2024-09-04 12:58:17, 0, 0, 39.521 ,28.466,37.573,OFF
2024-09-04 12:58:31, 0, 0, 39.508 ,28.463,37.596,OFF
2024-09-04 12:58:44, 0, 0, 39.495 ,28.466,37.619,OFF
2024-09-04 12:58:59, 0, 0, 39.557 ,28.465,37.642,ON
2024-09-04 12:59:12, 0, 0, 39.722 ,28.463,37.665,ON
2024-09-04 12:59:25, 0, 0, 39.902 ,28.469,37.687,ON
2024-09-04 12:59:39, 0, 0, 40.084 ,28.482,37.709,ON
2024-09-04 12:59:52, 0, 0, 40.266 ,28.489,37.733,ON
2024-09-04 13:00:06, 0, 0, 40.445 ,28.484,37.758,ON
2024-09-04 13:00:19, 0, 0, 40.624 ,28.493,37.784,ON
2024-09-04 13:00:33, 0, 0, 40.731 ,28.5,37.813,OFF
2024-09-04 13:00:47, 0, 0, 40.729 ,28.509,37.844,OFF
2024-09-04 13:01:02, 0, 0, 40.711 ,28.509,37.876,OFF
2024-09-04 13:01:16, 0, 0, 40.69 ,28.514,37.91,OFF
2024-09-04 13:01:30, 0, 0, 40.671 ,28.523,37.944,OFF
2024-09-04 13:01:44, 0, 0, 40.652 ,28.519,37.978,OFF
2024-09-04 13:01:58, 0, 0, 40.635 ,28.517,38.011,OFF
2024-09-04 13:02:12, 0, 0, 40.618 ,28.52,38.045,OFF
2024-09-04 13:02:26, 0, 0, 40.603 ,28.527,38.078,OFF
2024-09-04 13:02:41, 0, 0, 40.588 ,28.53,38.111,OFF
2024-09-04 13:02:55, 0, 0, 40.574 ,28.528,38.142,OFF
2024-09-04 13:03:09, 0, 0, 40.561 ,28.531,38.174,OFF
2024-09-04 13:03:23, 0, 0, 40.548 ,28.538,38.204,OFF
2024-09-04 13:03:37, 0, 0, 40.535 ,28.54,38.234,OFF
2024-09-04 13:03:51, 0, 0, 40.522 ,28.545,38.263,OFF
2024-09-04 13:04:05, 0, 0, 40.51 ,28.553,38.291,OFF
2024-09-04 13:04:19, 0, 0, 40.498 ,28.561,38.319,OFF
2024-09-04 13:04:33, 0, 0, 40.487 ,28.555,38.345,OFF
2024-09-04 13:04:46, 0, 0, 40.476 ,28.559,38.37,OFF
2024-09-04 13:05:00, 0, 0, 40.464 ,28.564,38.394,OFF
2024-09-04 13:05:13, 0, 0, 40.453 ,28.567,38.418,OFF
2024-09-04 13:05:27, 0, 0, 40.442 ,28.57,38.442,OFF
2024-09-04 13:05:40, 0, 0, 40.432 ,28.573,38.465,OFF
2024-09-04 13:05:54, 0, 0, 40.421 ,28.57,38.487,OFF
2024-09-04 13:06:07, 0, 0, 40.41 ,28.573,38.509,OFF
2024-09-04 13:06:21, 0, 0, 40.399 ,28.58,38.531,OFF
2024-09-04 13:06:34, 0, 0, 40.389 ,28.587,38.552,OFF
2024-09-04 13:06:48, 0, 0, 40.378 ,28.593,38.573,OFF
2024-09-04 13:07:01, 0, 0, 40.368 ,28.597,38.593,OFF
2024-09-04 13:07:15, 0, 0, 40.357 ,28.6,38.613,OFF
2024-09-04 13:07:28, 0, 0, 40.346 ,28.594,38.633,OFF
2024-09-04 13:07:41, 0, 0, 40.336 ,28.599,38.652,OFF
2024-09-04 13:07:55, 0, 0, 40.326 ,28.604,38.671,OFF
2024-09-04 13:08:08, 0, 0, 40.315 ,28.608,38.69,OFF
2024-09-04 13:08:22, 0, 0, 40.305 ,28.612,38.708,OFF
2024-09-04 13:08:35, 0, 0, 40.295 ,28.612,38.726,OFF
2024-09-04 13:08:49, 0, 0, 40.285 ,28.614,38.743,OFF
2024-09-04 13:09:02, 0, 0, 40.275 ,28.611,38.761,OFF
2024-09-04 13:09:16, 0, 0, 40.264 ,28.608,38.778,OFF
2024-09-04 13:09:29, 0, 0, 40.254 ,28.604,38.794,OFF
2024-09-04 13:09:43, 0, 0, 40.245 ,28.607,38.811,OFF
2024-09-04 13:09:56, 0, 0, 40.235 ,28.61,38.827,OFF
2024-09-04 13:10:10, 0, 0, 40.225 ,28.617,38.843,OFF
2024-09-04 13:10:23, 0, 0, 40.215 ,28.617,38.858,OFF
2024-09-04 13:10:37, 0, 0, 40.206 ,28.616,38.874,OFF
2024-09-04 13:10:50, 0, 0, 40.196 ,28.62,38.889,OFF
2024-09-04 13:11:04, 0, 0, 40.186 ,28.623,38.904,OFF
2024-09-04 13:11:17, 0, 0, 40.177 ,28.625,38.918,OFF
2024-09-04 13:11:30, 0, 0, 40.168 ,28.622,38.933,OFF
2024-09-04 13:11:44, 0, 0, 40.158 ,28.62,38.947,OFF
2024-09-04 13:11:57, 0, 0, 40.149 ,28.617,38.961,OFF
2024-09-04 13:12:11, 0, 0, 40.14 ,28.61,38.975,OFF
2024-09-04 13:12:24, 0, 0, 40.131 ,28.614,38.988,OFF
2024-09-04 13:12:38, 0, 0, 40.122 ,28.619,39.001,OFF
2024-09-04 13:12:51, 0, 0, 40.113 ,28.622,39.015,OFF
2024-09-04 13:13:05, 0, 0, 40.104 ,28.623,39.027,OFF
2024-09-04 13:13:18, 0, 0, 40.095 ,28.625,39.04,OFF
2024-09-04 13:13:32, 0, 0, 40.087 ,28.628,39.052,OFF
2024-09-04 13:13:45, 0, 0, 40.078 ,28.626,39.064,OFF
2024-09-04 13:13:59, 0, 0, 40.069 ,28.623,39.077,OFF
2024-09-04 13:14:12, 0, 0, 40.061 ,28.625,39.088,OFF
2024-09-04 13:14:26, 0, 0, 40.052 ,28.614,39.1,OFF
2024-09-04 13:14:39, 0, 0, 40.044 ,28.626,39.112,OFF
2024-09-04 13:14:53, 0, 0, 40.036 ,28.633,39.123,OFF
2024-09-04 13:15:06, 0, 0, 40.028 ,28.631,39.134,OFF
2024-09-04 13:15:19, 0, 0, 40.02 ,28.635,39.145,OFF
2024-09-04 13:15:33, 0, 0, 40.012 ,28.64,39.156,OFF
2024-09-04 13:15:46, 0, 0, 40.004 ,28.642,39.166,OFF
2024-09-04 13:16:00, 0, 0, 39.996 ,28.642,39.177,OFF
2024-09-04 13:16:13, 0, 0, 39.988 ,28.637,39.187,OFF
2024-09-04 13:16:27, 0, 0, 39.98 ,28.641,39.197,OFF
2024-09-04 13:16:40, 0, 0, 39.973 ,28.645,39.207,OFF
2024-09-04 13:16:54, 0, 0, 39.965 ,28.65,39.217,OFF
2024-09-04 13:17:07, 0, 0, 39.958 ,28.651,39.227,OFF
2024-09-04 13:17:21, 0, 0, 39.95 ,28.65,39.236,OFF
2024-09-04 13:17:34, 0, 0, 39.943 ,28.653,39.245,OFF
2024-09-04 13:17:48, 0, 0, 39.936 ,28.654,39.255,OFF
2024-09-04 13:18:01, 0, 0, 39.929 ,28.657,39.264,OFF
2024-09-04 13:18:15, 0, 0, 39.922 ,28.66,39.272,OFF
2024-09-04 13:18:28, 0, 0, 39.914 ,28.662,39.281,OFF
2024-09-04 13:18:42, 0, 0, 39.907 ,28.664,39.29,OFF
2024-09-04 13:18:55, 0, 0, 39.901 ,28.654,39.298,OFF
2024-09-04 13:19:09, 0, 0, 39.894 ,28.659,39.307,OFF
2024-09-04 13:19:22, 0, 0, 39.887 ,28.653,39.315,OFF
2024-09-04 13:19:35, 0, 0, 39.88 ,28.656,39.323,OFF
2024-09-04 13:19:49, 0, 0, 39.874 ,28.654,39.331,OFF
2024-09-04 13:20:02, 0, 0, 39.867 ,28.657,39.339,OFF
2024-09-04 13:20:16, 0, 0, 39.86 ,28.657,39.346,OFF
2024-09-04 13:20:29, 0, 0, 39.854 ,28.658,39.354,OFF
2024-09-04 13:20:43, 0, 0, 39.848 ,28.662,39.361,OFF
2024-09-04 13:20:56, 0, 0, 39.841 ,28.661,39.368,OFF
2024-09-04 13:21:10, 0, 0, 39.835 ,28.65,39.376,OFF
2024-09-04 13:21:23, 0, 0, 39.829 ,28.658,39.383,OFF
2024-09-04 13:21:37, 0, 0, 39.823 ,28.665,39.39,OFF
2024-09-04 13:21:50, 0, 0, 39.816 ,28.667,39.396,OFF
2024-09-04 13:22:04, 0, 0, 39.81 ,28.671,39.403,OFF
2024-09-04 13:22:17, 0, 0, 39.804 ,28.666,39.41,OFF
2024-09-04 13:22:31, 0, 0, 39.799 ,28.669,39.416,OFF
2024-09-04 13:22:44, 0, 0, 39.793 ,28.671,39.423,OFF
2024-09-04 13:22:58, 0, 0, 39.787 ,28.674,39.429,OFF
2024-09-04 13:23:11, 0, 0, 39.781 ,28.68,39.435,OFF
2024-09-04 13:23:24, 0, 0, 39.776 ,28.682,39.441,OFF
2024-09-04 13:23:38, 0, 0, 39.77 ,28.681,39.447,OFF
2024-09-04 13:23:51, 0, 0, 39.764 ,28.681,39.454,OFF
2024-09-04 13:24:05, 0, 0, 39.759 ,28.687,39.459,OFF
2024-09-04 13:24:18, 0, 0, 39.753 ,28.684,39.465,OFF
2024-09-04 13:24:32, 0, 0, 39.748 ,28.682,39.471,OFF
2024-09-04 13:24:45, 0, 0, 39.742 ,28.69,39.476,OFF
2024-09-04 13:24:59, 0, 0, 39.737 ,28.692,39.482,OFF
2024-09-04 13:25:12, 0, 0, 39.732 ,28.697,39.487,OFF
2024-09-04 13:25:26, 0, 0, 39.727 ,28.702,39.493,OFF
2024-09-04 13:25:39, 0, 0, 39.722 ,28.706,39.498,OFF
2024-09-04 13:25:53, 0, 0, 39.716 ,28.697,39.503,OFF
2024-09-04 13:26:06, 0, 0, 39.711 ,28.694,39.508,OFF
2024-09-04 13:26:20, 0, 0, 39.706 ,28.696,39.513,OFF
2024-09-04 13:26:33, 0, 0, 39.701 ,28.696,39.518,OFF
2024-09-04 13:26:47, 0, 0, 39.696 ,28.7,39.523,OFF
2024-09-04 13:27:00, 0, 0, 39.691 ,28.702,39.527,OFF
2024-09-04 13:27:13, 0, 0, 39.687 ,28.702,39.532,OFF
2024-09-04 13:27:27, 0, 0, 39.682 ,28.708,39.536,OFF
2024-09-04 13:27:40, 0, 0, 39.677 ,28.709,39.541,OFF
2024-09-04 13:27:54, 0, 0, 39.672 ,28.707,39.545,OFF
2024-09-04 13:28:07, 0, 0, 39.668 ,28.708,39.549,OFF
2024-09-04 13:28:21, 0, 0, 39.663 ,28.711,39.553,OFF
2024-09-04 13:28:34, 0, 0, 39.658 ,28.709,39.558,OFF
2024-09-04 13:28:48, 0, 0, 39.654 ,28.708,39.562,OFF
2024-09-04 13:29:01, 0, 0, 39.649 ,28.709,39.566,OFF
2024-09-04 13:29:15, 0, 0, 39.645 ,28.709,39.57,OFF
2024-09-04 13:29:28, 0, 0, 39.64 ,28.703,39.573,OFF
2024-09-04 13:29:42, 0, 0, 39.636 ,28.704,39.577,OFF
2024-09-04 13:29:55, 0, 0, 39.632 ,28.704,39.581,OFF
2024-09-04 13:30:09, 0, 0, 39.627 ,28.699,39.584,OFF
2024-09-04 13:30:22, 0, 0, 39.623 ,28.701,39.588,OFF
2024-09-04 13:30:36, 0, 0, 39.619 ,28.704,39.591,OFF
2024-09-04 13:30:49, 0, 0, 39.614 ,28.698,39.594,OFF
2024-09-04 13:31:02, 0, 0, 39.61 ,28.704,39.598,OFF
2024-09-04 13:31:16, 0, 0, 39.606 ,28.713,39.601,OFF
2024-09-04 13:31:29, 0, 0, 39.602 ,28.716,39.604,OFF
2024-09-04 13:31:43, 0, 0, 39.598 ,28.714,39.607,OFF
2024-09-04 13:31:56, 0, 0, 39.594 ,28.709,39.61,OFF
2024-09-04 13:32:10, 0, 0, 39.59 ,28.706,39.613,OFF
2024-09-04 13:32:23, 0, 0, 39.586 ,28.712,39.616,OFF
2024-09-04 13:32:37, 0, 0, 39.582 ,28.714,39.619,OFF
2024-09-04 13:32:50, 0, 0, 39.578 ,28.717,39.622,OFF
2024-09-04 13:33:04, 0, 0, 39.574 ,28.71,39.625,OFF
2024-09-04 13:33:17, 0, 0, 39.57 ,28.713,39.628,OFF
2024-09-04 13:33:31, 0, 0, 39.567 ,28.709,39.63,OFF
2024-09-04 13:33:44, 0, 0, 39.563 ,28.715,39.633,OFF
2024-09-04 13:33:58, 0, 0, 39.559 ,28.721,39.636,OFF
2024-09-04 13:34:11, 0, 0, 39.555 ,28.724,39.638,OFF
2024-09-04 13:34:25, 0, 0, 39.552 ,28.725,39.641,OFF
2024-09-04 13:34:38, 0, 0, 39.548 ,28.73,39.643,OFF
2024-09-04 13:34:51, 0, 0, 39.544 ,28.734,39.646,OFF
2024-09-04 13:35:05, 0, 0, 39.541 ,28.739,39.648,OFF
2024-09-04 13:35:18, 0, 0, 39.537 ,28.742,39.651,OFF
2024-09-04 13:35:32, 0, 0, 39.534 ,28.745,39.653,OFF
2024-09-04 13:35:45, 0, 0, 39.53 ,28.743,39.655,OFF
2024-09-04 13:35:59, 0, 0, 39.527 ,28.748,39.657,OFF
2024-09-04 13:36:12, 0, 0, 39.523 ,28.752,39.66,OFF
2024-09-04 13:36:26, 0, 0, 39.52 ,28.748,39.662,OFF
2024-09-04 13:36:39, 0, 0, 39.516 ,28.747,39.664,OFF
2024-09-04 13:36:53, 0, 0, 39.513 ,28.747,39.666,OFF
2024-09-04 13:37:06, 0, 0, 39.51 ,28.747,39.668,OFF
2024-09-04 13:37:20, 0, 0, 39.506 ,28.75,39.67,OFF
2024-09-04 13:37:33, 0, 0, 39.503 ,28.752,39.672,OFF
2024-09-04 13:37:47, 0, 0, 39.5 ,28.75,39.674,OFF
2024-09-04 13:38:00, 0, 0, 39.496 ,28.74,39.675,OFF
2024-09-04 13:38:14, 0, 0, 39.567 ,28.736,39.677,ON
2024-09-04 13:38:28, 0, 0, 39.739 ,28.745,39.679,ON
2024-09-04 13:38:41, 0, 0, 39.927 ,28.743,39.682,ON
2024-09-04 13:38:55, 0, 0, 40.117 ,28.743,39.685,ON
2024-09-04 13:39:08, 0, 0, 40.307 ,28.749,39.689,ON
2024-09-04 13:39:22, 0, 0, 40.494 ,28.753,39.695,ON
2024-09-04 13:39:35, 0, 0, 40.681 ,28.754,39.702,ON
2024-09-04 13:39:49, 0, 0, 40.797 ,28.76,39.712,OFF
2024-09-04 13:40:03, 0, 0, 40.805 ,28.761,39.724,OFF
2024-09-04 13:40:17, 0, 0, 40.796 ,28.763,39.738,OFF
2024-09-04 13:40:31, 0, 0, 40.784 ,28.768,39.753,OFF
2024-09-04 13:40:46, 0, 0, 40.773 ,28.772,39.769,OFF
2024-09-04 13:41:00, 0, 0, 40.763 ,28.776,39.785,OFF
2024-09-04 13:41:14, 0, 0, 40.754 ,28.781,39.802,OFF
2024-09-04 13:41:28, 0, 0, 40.745 ,28.774,39.818,OFF
2024-09-04 13:41:42, 0, 0, 40.738 ,28.774,39.834,OFF
2024-09-04 13:41:56, 0, 0, 40.731 ,28.769,39.85,OFF
2024-09-04 13:42:10, 0, 0, 40.724 ,28.776,39.866,OFF
2024-09-04 13:42:24, 0, 0, 40.719 ,28.777,39.881,OFF
2024-09-04 13:42:39, 0, 0, 40.713 ,28.774,39.896,OFF
2024-09-04 13:42:53, 0, 0, 40.707 ,28.771,39.91,OFF
2024-09-04 13:43:07, 0, 0, 40.702 ,28.766,39.924,OFF
2024-09-04 13:43:21, 0, 0, 40.697 ,28.768,39.937,OFF
2024-09-04 13:43:35, 0, 0, 40.692 ,28.763,39.951,OFF
2024-09-04 13:43:49, 0, 0, 40.687 ,28.766,39.963,OFF
2024-09-04 13:44:03, 0, 0, 40.682 ,28.771,39.975,OFF
2024-09-04 13:44:17, 0, 0, 40.677 ,28.78,39.987,OFF
2024-09-04 13:44:31, 0, 0, 40.672 ,28.786,39.998,OFF
2024-09-04 13:44:46, 0, 0, 40.667 ,28.781,40.009,OFF
2024-09-04 13:45:00, 0, 0, 40.662 ,28.786,40.02,OFF
2024-09-04 13:45:14, 0, 0, 40.656 ,28.79,40.03,OFF
2024-09-04 13:45:28, 0, 0, 40.651 ,28.787,40.041,OFF
2024-09-04 13:45:42, 0, 0, 40.646 ,28.791,40.051,OFF
2024-09-04 13:45:56, 0, 0, 40.641 ,28.783,40.06,OFF
2024-09-04 13:46:10, 0, 0, 40.635 ,28.787,40.07,OFF
2024-09-04 13:46:25, 0, 0, 40.63 ,28.792,40.079,OFF
2024-09-04 13:46:39, 0, 0, 40.625 ,28.792,40.087,OFF
2024-09-04 13:46:53, 0, 0, 40.619 ,28.795,40.096,OFF
2024-09-04 13:47:07, 0, 0, 40.614 ,28.798,40.104,OFF
2024-09-04 13:47:21, 0, 0, 40.608 ,28.794,40.113,OFF
2024-09-04 13:47:35, 0, 0, 40.603 ,28.798,40.121,OFF
2024-09-04 13:47:49, 0, 0, 40.597 ,28.804,40.129,OFF
2024-09-04 13:48:03, 0, 0, 40.592 ,28.807,40.136,OFF
2024-09-04 13:48:17, 0, 0, 40.586 ,28.811,40.144,OFF
2024-09-04 13:48:32, 0, 0, 40.581 ,28.806,40.151,OFF
2024-09-04 13:48:46, 0, 0, 40.575 ,28.805,40.158,OFF
2024-09-04 13:49:00, 0, 0, 40.569 ,28.811,40.165,OFF
2024-09-04 13:49:14, 0, 0, 40.564 ,28.813,40.172,OFF
2024-09-04 13:49:28, 0, 0, 40.558 ,28.815,40.179,OFF
2024-09-04 13:49:42, 0, 0, 40.553 ,28.812,40.185,OFF
2024-09-04 13:49:56, 0, 0, 40.547 ,28.812,40.192,OFF
2024-09-04 13:50:10, 0, 0, 40.542 ,28.812,40.198,OFF
2024-09-04 13:50:25, 0, 0, 40.536 ,28.814,40.204,OFF
2024-09-04 13:50:39, 0, 0, 40.531 ,28.817,40.21,OFF
2024-09-04 13:50:53, 0, 0, 40.525 ,28.818,40.216,OFF
